titre,prix,surface,pieces,quartier,type_bien,prix_m2,url,source,score_marche,etage,parking,balcon,vue_mer,etat_bien,score_jeune_couple,tags,resume_ia
Vente Appartement 1 pièce,63000,17.0,1,Saint-Roch,appartement,3705.88,https://www.bienici.com/annonce/iad-france-2019146,Mandataire,Opportunite,,False,False,False,inconnu,2,"[""investissement_locatif""]","Studio 17m² à Saint-Roch, Toulon. Prix attractif 63000€ (3705€/m²). Trop exigu pour couple, intéressant comme investissement locatif ou première acquisition solo."
Toulon Saint Jean,64000,31.0,2,Saint-Jean du Var,appartement,2064.52,https://www.bienici.com/annonce/ag832760-513679193,Agence,Opportunite,,False,False,False,inconnu,3,"[""investissement_locatif"", ""coup_de_coeur""]","T2 de 31m² à Saint-Jean, prix très attractif pour le marché toulonnais. Budget accessible et quartier résidentiel plaisant, mais espace limité. Opportunité d'investissement intéressante."
"TOULON, studio dernier étage place de la Cathédrale",65000,18.0,1,Centre-ville,appartement,3611.11,https://www.bienici.com/annonce/hektor-centreville-387519,IBOX Jaurès,Opportunite,,False,False,False,inconnu,2,"[""centre_ville"", ""coup_de_coeur""]","Studio 18m² au cœur de Toulon, place de la Cathédrale. Prix opportunité à 65000€. Idéal investisseur ou célibataire, trop exigu pour couple."
,65000,17.0,1,Saint-Roch,appartement,3823.53,https://www.bienici.com/annonce/century-21-202_3276_2004,CENTURY 21 Le Rocher,Opportunite,,False,False,False,inconnu,2,"[""investissement_locatif"", ""centre_ville""]","Studio 17m² à Saint-Roch, prix avantageux à 65000€. Très petit espace, convient mieux à investisseur locatif qu'à jeune couple cherchant du confort."
Toulon - Appartement T1 - 14 m2 RDC,65000,14.0,1,Sainte-Anne,appartement,4642.86,https://www.bienici.com/annonce/ag835481-500501042,Agence,Opportunite,0,False,False,False,inconnu,2,"[""centre_ville"", ""investissement_locatif""]","Petit T1 de 14 m² en RDC à Sainte-Anne, prix accessible à 65000€. Surface minimale, peu d'équipements mentionnés. Opportunité d'investissement locatif ou primo-accession seul."
Toulon - Appartement T1 - 13 m2 RDC,65000,13.0,1,Sainte-Anne,appartement,5000.0,https://www.bienici.com/annonce/ag835481-500601116,Agence,Opportunite,0,False,False,False,inconnu,1,"[""investissement_locatif""]",T1 RDC 13m² à 65000€ à Sainte-Anne. Petit studio bon marché pour investisseur locatif. Situation opportunité marché à prix/m² élevé.
Valbourdin,66000,36.0,2,Valbourdin,appartement,1833.33,https://www.bienici.com/annonce/netty-company54396zsr-appt-32237,Mandataire,Opportunite,,False,False,False,inconnu,4,"[""investissement_locatif"", ""coup_de_coeur""]","T2 de 36m² à Valbourdin, très abordable à 66000€. Opportunité marché intéressante avec bon prix au m². Idéal investissement locatif ou première acquisition budget serré."
"Appartement rez de chaussé, idéal investissement.",66000,26.0,1,Porte d'Italie,appartement,2538.46,https://www.bienici.com/annonce/safti-1-1582604,Mandataire,Opportunite,0,False,False,False,inconnu,2,"[""investissement_locatif"", ""coup_de_coeur""]","T1 rez-de-chaussée 26m² à Porte d'Italie. Prix très compétitif 66k€, excellente opportunité investissement. Petit bien nécessitant forte rentabilité locative pour justifier l'acquisition."
TOULON ouest appartement type 1,67000,28.1,1,Saint-Roch,appartement,2384.34,https://www.bienici.com/annonce/hektor-happy051017-3188,Agence,Opportunite,,False,False,False,inconnu,2,"[""investissement_locatif""]","T1 de 28m² à Toulon ouest, quartier Saint-Roch. Prix 67000€ (2384€/m²). Opportunité marché mais surface très réduite. Adapté investissement locatif plutôt que résidence principale."
,67000,19.75,1,Saint-Roch,appartement,3392.41,https://www.bienici.com/annonce/century-21-202_2305_3510,CENTURY 21 Ouest Immo,Opportunite,,False,False,False,inconnu,2,"[""investissement_locatif""]","Studio 19,75 m² à Saint-Roch, 67 000 €. Bien compact à prix attractif. Peu d'informations sur l'état. À considérer surtout comme investissement locatif."
Toulon - Serinette - F3 rez-de-jardin cellier parking et gar,68000,71.35,3,Aguillon,appartement,953.05,https://www.bienici.com/annonce/hektor-11_GRECHTOULON2023-112960,Agence,Opportunite,0,True,False,False,inconnu,4,"[""parking_inclus"", ""investissement_locatif"", ""proche_transports""]","F3 rez-de-jardin attractif à Toulon Aguillon. Prix très compétitif 68k€, parking inclus, cellier, petit jardin. Bon potentiel investissement locatif ou résidence principale."
TOULO CENTRE - studette dans immeuble de standing,68000,14.0,1,Centre-ville,appartement,4857.14,https://www.bienici.com/annonce/hektor-centreville-389382,IBOX Jaurès,Opportunite,,False,False,False,bon_etat,2,"[""centre_ville"", ""coup_de_coeur"", ""investissement_locatif""]",Petite studette de 14 m² en centre-ville toulonnais à 68000 €. Immeuble de standing offrant une opportunité d'investissement locatif malgré la surface réduite. Peu adaptée à la vie en couple.
TOULON EST - PROCHE CENTRE VILLE,69000,23.43,1,Saint-Jean du Var,appartement,2944.94,https://www.bienici.com/annonce/hektor-centreville-390139,IBOX Jaurès,Opportunite,,False,False,False,inconnu,2,"[""proche_transports"", ""investissement_locatif""]","Studio minuscule à Toulon Est, prix attractif à 69000€. Proximité centre-ville et transports. Surface très limitée, sans parking ni balcon. Plutôt pour investisseur."
TOULON CENTRE VILLE - STUDIO DE 21 M2 AU PREMIER ETAGE,69000,21.0,1,Centre-ville,appartement,3285.71,https://www.bienici.com/annonce/hektor-centreville-390018,IBOX Jaurès,Opportunite,1,False,False,False,inconnu,2,"[""centre_ville"", ""investissement_locatif""]",Studio centre-ville de 21m² au 1er étage à 69000€. Format très compact adapté plutôt à l'investissement locatif qu'à l'habitation d'un couple. Bon rapport prix/m² mais espace limité.
"STUDIO loué - 18,75m2 - ascenseur",69000,18.75,1,Centre-ville,appartement,3680.0,https://www.bienici.com/annonce/hektor-royal-immo-30366,Agence,Opportunite,,False,False,False,inconnu,2,"[""investissement_locatif"", ""centre_ville""]","Studio loué en centre-ville de Toulon avec ascenseur. Surface réduite de 18,75m² à 69000€. Opportunité d'investissement locatif mais peu confortable pour habitation personnelle."
TOULON OUEST ST ROCH,71500,24.0,1,Saint-Roch,appartement,2979.17,https://www.bienici.com/annonce/hektor-centreville-390352,IBOX Jaurès,Opportunite,,False,False,False,inconnu,2,"[""investissement_locatif"", ""centre_ville""]","Studio de 24 m² à Saint-Roch, Toulon Ouest. Prix attractif (71 500 €), bon pour investissement locatif. Surface très réduite, peu d'équipements mentionnés. Positionnement marché favorable."
Vente Appartement 1 pièce,71900,27.0,1,Saint-Jean du Var,appartement,2662.96,https://www.bienici.com/annonce/iad-france-1873067,Mandataire,Opportunite,,False,False,False,inconnu,2,"[""investissement_locatif""]","Studio de 27 m² à Saint-Jean du Var, Toulon. Prix attrayant de 71 900 € mais surface très compacte. À considérer principalement comme investissement locatif en quartier à potentiel."
Réf. 10 011 - VIAGER OCCUPE - TOULON,72500,67.46,3,Saint-Jean du Var,appartement,1074.71,https://www.bienici.com/annonce/apimo-4112366,Etude Lodel - Nice,Opportunite,,False,False,False,inconnu,2,"[""investissement_locatif""]","Appartement 3 pièces en viager occupé à Saint-Jean du Var. Prix accessible mais structure viager complexe avec occupant présent, limitant fortement l'usage immédiat pour un jeune couple."
"Toulon Ouest, T1, 28,20M2 , vendu loué. DPE C",73000,27.87,1,Saint-Roch,appartement,2619.3,https://www.bienici.com/annonce/hektor-sixfours-387260,IMMOBOX,Opportunite,,False,False,False,bon_etat,2,"[""investissement_locatif"", ""prix_accessible""]","T1 de 28m² à Toulon Ouest, quartier Saint-Roch. Prix attractif (73 000€) pour investisseur. Bon état, DPE C. Surface minimale, sans parking ni balcon. Opportunité d'investissement locatif."
TOULON - Joli T3 en viager occupé,74000,70.0,3,La Rode,appartement,1057.14,https://www.bienici.com/annonce/hektor-agencedelavenir-7291,Agence,Opportunite,,False,False,False,inconnu,2,"[""investissement_locatif""]",T3 de 70m² à La Rode proposé en viager occupé à 74000€. Prix/m² intéressant mais structure d'achat très contraignante pour un usage personnel immédiat.
Appartement 3 Pièces 69m² à vendre 74000€ - Toulon 83000,74000,69.0,3,La Rode,appartement,1072.46,https://www.bienici.com/annonce/ag832778-481344542,Agence,Opportunite,,False,False,False,inconnu,4,"[""investissement_locatif"", ""coup_de_coeur""]","Appartement 3 pièces 69m² à Toulon, prix très compétitif 74k€. Quartier La Rode, positionnement opportunité marché. Idéal pour jeunes couples cherchant primo-accession à prix abordable."
TOULON OUEST - APPARTEMENT RENOVE EN 2022 IDEAL INVESTISSEUR,74000,23.8,1,Pont du Las,appartement,3109.24,https://www.bienici.com/annonce/hektor-lesagencesboyer-5225,Agence,Opportunite,,False,False,False,bon_etat,2,"[""investissement_locatif"", ""proche_transports""]","Studio rénové 2022 à 74000€ à Toulon Ouest. Petit bien compact au prix accessible, idéal investisseur locatif. Quartier Pont du Las bien desservi, opportunité marché."
"Studio de 22,40m2 + place de parking",74000,21.78,1,Saint-Jean du Var,appartement,3397.61,https://www.bienici.com/annonce/hektor-2_GRECHTOULON2023-112994,Agence,Opportunite,,True,False,False,inconnu,3,"[""parking_inclus"", ""investissement_locatif"", ""proche_transports""]",Studio compact à 74000€ avec parking inclus en quartier accessible. Surface limitée mais prix opportune pour jeune couple cherchant investissement locatif ou premier achat économique.
STUDIO TOULON INVESTISSEUR,74000,20.0,1,Saint-Jean du Var,appartement,3700.0,https://www.bienici.com/annonce/hektor-happy051017-3155,Agence,Opportunite,,False,False,False,inconnu,1,"[""investissement_locatif""]","Studio de 20m² à 74000€ dans Saint-Jean du Var. Prix attractif (3700€/m²) positionné en opportunité investisseur. Idéal pour investissement locatif, peu adapté résidence principale."
Grand T2 69 m2 en Viager occupé - La Rode,74300,69.0,2,La Rode,appartement,1076.81,https://www.bienici.com/annonce/hektor-gustonimmobilier-5080,GUSTON IMMOBILIER,Opportunite,,False,False,False,inconnu,2,"[""investissement_locatif""]",T2 de 69 m² en viager occupé à La Rode. Prix attractif (74 300 €) mais formule peu conventionnelle limitant la jouissance immédiate du bien pour un jeune couple.
Viager occupé 5 pièces 87m2,75000,87.0,5,Champs-de-Mars,appartement,862.07,https://www.bienici.com/annonce/ag756411-418616663,Mandataire,Opportunite,,False,False,False,inconnu,1,"[""investissement_locatif""]","Appartement 5 pièces 87m² en viager occupé à Champs-de-Mars. Prix très attractif (75000€) mais bien non disponible immédiatement, structure complexe adaptée investisseurs expérimentés."
Vente Appartement 2 pièces,75000,45.0,2,Valbourdin,appartement,1666.67,https://www.bienici.com/annonce/iad-france-1808242,Mandataire,Opportunite,,False,False,False,inconnu,4,"[""investissement_locatif"", ""coup_de_coeur""]",Appartement 2 pièces 45m² à 75000€ dans le quartier Valbourdin. Prix très compétitif (1667€/m²) et identifié comme opportunité marché. Idéal pour investissement ou primo-accédants avec budget serré.
,75000,41.0,1,Saint-Jean du Var,appartement,1829.27,https://www.bienici.com/annonce/citya-immobilier-41039H-TAPP953655,Citya Estublier,Opportunite,,False,False,False,inconnu,2,"[""coup_de_coeur"", ""investissement_locatif""]",Studio de 41m² à 75000€ dans le quartier Saint-Jean du Var. Prix attractif au m² (1829€/m²) représentant une opportunité d'investissement locatif. Surface très limitée pour usage résidentiel.
*** GRAND STUDIO AU DERNIER ÉTAGE *** PROCHE ARSENAL *** IDÉAL INVESTISSEUR OU PRIMO-ACCÉDANT ***,75000,27.0,1,Pont du Las,appartement,2777.78,https://www.bienici.com/annonce/ag311656-497521061,Mandataire,Opportunite,,False,False,False,inconnu,2,"[""investissement_locatif"", ""proche_transports"", ""coup_de_coeur""]","Grand studio 27m² dernier étage Pont du Las à 75k€. Prix très attractif (2778€/m²), idéal investisseur. Proximité Arsenal, bien positionné pour location saisonnière toulon."
Vente Studio 1 pièce,75000,18.0,1,Place d'Armes,appartement,4166.67,https://www.bienici.com/annonce/iad-france-1832685,Mandataire,Opportunite,,False,False,False,inconnu,2,"[""centre_ville"", ""investissement_locatif""]","Studio 18m² place d'Armes à 75000€. Opportunité de marché en centre-ville toulonnais. Surface minimaliste, adapté investissement locatif plutôt que résidence principale couple."
Appartement T2 avec balcon,76000,42.0,2,Pont du Las,appartement,1809.52,https://www.bienici.com/annonce/safti-1-1572152,Mandataire,Opportunite,,False,True,False,inconnu,4,"[""proche_transports"", ""investissement_locatif"", ""coup_de_coeur""]",T2 balcon à bon prix (76k€) dans quartier accessible. Surface compacte 42m². Positionnement marché favorable. Idéal pour jeune couple ou investissement locatif.
TOULON LENDRIN,76000,36.85,1,Centre-ville,appartement,2062.42,https://www.bienici.com/annonce/hektor-lpaimmo-27264,Agence,Opportunite,,False,False,False,inconnu,2,"[""centre_ville"", ""investissement_locatif""]","Studio 37m² centre-ville Toulon à 76000€. Prix accessible et bien positionné marché. Idéal investissement locatif ou petit budget, mais trop exigu pour jeune couple cherchant confort."
TOULON CENTRE STUDIO LOUE,76000,28.33,1,Place d'Armes,appartement,2682.67,https://www.bienici.com/annonce/hektor-bretteimmobilieranne-19473,BRETTE IMMOBILIER,Opportunite,,False,False,False,inconnu,2,"[""centre_ville"", ""investissement_locatif""]","Studio loué 28m² en plein centre Toulon (Place d'Armes). Prix 76000€, excellent rendement locatif. Surface réduite, aucun équipement annexe. Opportunité d'investissement."
Vente Appartement 1 pièce,76000,28.0,1,Saint-Roch,appartement,2714.29,https://www.bienici.com/annonce/iad-france-2005107,Mandataire,Opportunite,,False,False,False,inconnu,2,"[""proche_transports"", ""investissement_locatif""]","Studio 28m² à Saint-Roch, 76000€. Prix au m² élevé. Surface très compacte. Bon pour investisseur ou étudiant. Quartier accessible en transports."
Vente Appartement 1 pièce,76000,20.0,1,Saint-Jean du Var,appartement,3800.0,https://www.bienici.com/annonce/iad-france-1917559,Mandataire,Opportunite,,False,False,False,inconnu,2,"[""investissement_locatif""]","Studio 20m² à 76000€ à Saint-Jean du Var. Prix au m² élevé (3800€). Très petit pour couple, mais opportunité d'investissement locatif."
Investissement en residence étudiante,76036,18.12,1,Champs-de-Mars,appartement,4196.25,https://www.bienici.com/annonce/hektor-APOGEE-6374,Agence,Opportunite,,False,False,False,inconnu,1,"[""investissement_locatif""]",Studio de 18m² en résidence étudiante à Champs-de-Mars. Prix accessible (76k€) mais surface minimale. Opportunité d'investissement locatif plutôt que résidence principale.
T2 Coeur de Ville,76500,33.0,2,Centre-ville,appartement,2318.18,https://www.bienici.com/annonce/ag311656-480330980,Mandataire,Opportunite,,False,False,False,inconnu,4,"[""proche_transports"", ""centre_ville"", ""investissement_locatif""]",T2 centre-ville à prix très compétitif (76 500€). Petit mais bien placé pour jeune couple. Surface 33m² exploitable. Emplacement stratégique Toulon centre avec accès transports et services proximité.
TOULON PONT DU LAS - T2/3 en dernier étage.,77000,41.48,2,Pont du Las,appartement,1856.32,https://www.bienici.com/annonce/hektor-fontpre-111722,IBOX Ecoquartier Font Pré,Opportunite,3,False,True,False,inconnu,4,"[""proche_transports"", ""investissement_locatif"", ""coup_de_coeur""]","T2/3 en dernier étage à Pont du Las, 77k€. Petit mais accessible, balcon lumineux. Quartier bien desservi, excellent prix au m² représentant une belle opportunité d'achat."
Toulon ouest  appartement type 2 loué aucune charge,77000,30.78,2,Saint-Roch,appartement,2501.62,https://www.bienici.com/annonce/hektor-happy051017-3187,Agence,Opportunite,,False,False,False,inconnu,2,"[""investissement_locatif"", ""centre_ville""]","T2 de 31 m² à Saint-Roch, loué sans charges. Petit budget (77000 €) mais surface très réduite. Intéressant comme investissement locatif, peu adapté pour jeune couple cherchant espace."
TOULON CENTRE VILLE T2 de 34m2,78000,34.0,2,Porte d'Italie,appartement,2294.12,https://www.bienici.com/annonce/dr-house-immo-1-2126593,Agence,Opportunite,,False,False,False,inconnu,3,"[""centre_ville"", ""investissement_locatif"", ""coup_de_coeur""]",T2 compact au cœur de Toulon à prix opportuniste. Idéal pour investisseur ou premier achat. Surface limitée mais bien localisé. Parking et balcon absents.
F1 Place Puget,78000,25.26,1,Centre-ville,appartement,3087.89,https://www.bienici.com/annonce/hektor-lpaimmo-27292,Agence,Opportunite,,False,False,False,inconnu,2,"[""centre_ville"", ""investissement_locatif""]","F1 compact au cœur de Toulon, Place Puget. Budget très accessible à 78000€ mais surface minimale. Opportunité pour investisseur ou célibataire, moins adapté aux jeunes couples."
Studio avec terrasse,78000,24.0,1,Pont de Bois,appartement,3250.0,https://www.bienici.com/annonce/safti-1-1563237,Mandataire,Opportunite,,False,True,False,inconnu,3,"[""grande_terrasse"", ""investissement_locatif"", ""coup_de_coeur""]",Studio compact avec terrasse à Pont de Bois. Prix attractif à 78000€ (3250€/m²). Surface réduite mais bien positionnée marché comme opportunité. Idéal investissement locatif.
,78000,21.0,1,Centre-ville,appartement,3714.29,https://www.bienici.com/annonce/century-21-202_2305_3555,CENTURY 21 Ouest Immo,Opportunite,,False,False,False,inconnu,2,"[""centre_ville"", ""investissement_locatif""]","Studio 21m² au centre-ville de Toulon à 78000€. Prix abordable mais très petit pour un couple. Bon potentiel d'investissement locatif, marché porteur."
"Toulon Est, quartier St Jean, appartement T3 traversant loué",79000,46.0,3,Saint-Jean du Var,appartement,1717.39,https://www.bienici.com/annonce/hektor-fontpre-389955,IBOX Ecoquartier Font Pré,Opportunite,,False,False,False,inconnu,4,"[""investissement_locatif"", ""proche_transports"", ""centre_ville""]","T3 traversant 46m² à Saint-Jean, Toulon. Prix très compétitif (79k€). Loué actuellement. Quartier accessible. Opportunité d'investissement locatif attractif pour jeune couple cherchant acquisition abordable."
"Toulon Est, quartier St Jean, appartement T1 Bis traversant",79000,32.0,1,Saint-Jean du Var,appartement,2468.75,https://www.bienici.com/annonce/hektor-fontpre-389952,IBOX Ecoquartier Font Pré,Opportunite,,False,False,False,inconnu,3,"[""investissement_locatif"", ""lumineux"", ""coup_de_coeur""]","T1 bis traversant 32m² à Toulon Est, quartier St-Jean. Prix attractif 79k€. Bien positionné marché comme opportunité pour primo-accédants ou investisseurs locatifs."
Vente Appartement 2 pièces,79000,31.0,2,Saint-Roch,appartement,2548.39,https://www.bienici.com/annonce/iad-france-2005108,Mandataire,Opportunite,,False,False,False,inconnu,4,"[""prix_abordable"", ""centre_ville"", ""investissement_locatif"", ""proche_transports""]","Appartement 2 pièces de 31m² à Saint-Roch, Toulon. Prix très compétitif à 79000€. Opportunité pour jeune couple ou investisseur locatif. Quartier bien desservi avec accès transports proximité."
Beau studio traversant avec terrasse privative au calme,79000,24.64,1,Saint-Roch,appartement,3206.17,https://www.bienici.com/annonce/apimo-82795864,IMMO LIBERTE,Opportunite,,False,True,False,bon_etat,4,"[""calme"", ""lumineux"", ""grande_terrasse"", ""coup_de_coeur"", ""proche_transports""]","Studio traversant 24,6 m² à Saint-Roch avec terrasse privée. Bien lumineux et calme. Prix opportunité 79000€. Idéal primo-accédants sans voiture. Pas de parking."
Studio centre Mourillon,79000,16.0,1,Le Mourillon - La Mitre - Fort Lamalgue,appartement,4937.5,https://www.bienici.com/annonce/ag835694-466798136,Agence,Opportunite,,False,False,False,inconnu,2,"[""centre_ville"", ""coup_de_coeur""]",Studio 16m² au Mourillon à 79000€. Petit espace bon marché en zone côtière. Manque parking et terrasse. Prix au m² élevé pour la surface réduite.
